,Price
1323,80.0
175,40.0
3652,130.0
10802,49.0
10684,27.0
9312,50.0
13639,28.0
12512,15.0
1500,150.0
14732,62.0
13696,50.0
13954,60.0
8562,115.0
6849,65.0
127,58.0
7001,67.0
12311,120.0
12694,43.0
9982,90.0
6197,105.0
4033,45.0
8775,23.0
10248,38.0
7825,30.0
10625,60.0
11350,35.0
11420,60.0
8803,35.0
1104,38.0
2459,95.0
6577,26.0
8287,22.0
4812,80.0
4944,50.0
7321,25.0
7430,29.0
4360,94.0
15488,35.0
14837,70.0
2581,42.0
9227,50.0
7136,25.0
10818,58.0
6399,45.0
13079,30.0
13312,90.0
8052,30.0
14648,100.0
6362,35.0
14605,40.0
6877,59.0
10649,42.0
5399,50.0
10638,30.0
15019,50.0
5583,22.0
13281,25.0
1174,93.0
3448,75.0
11565,40.0
8663,40.0
8453,90.0
432,23.0
321,45.0
11432,99.0
12429,100.0
15001,43.0
8293,35.0
11516,120.0
1853,55.0
6493,30.0
989,20.0
8800,39.0
15204,95.0
3188,59.0
532,37.0
12572,27.0
5786,70.0
8275,25.0
13987,40.0
10271,99.0
3818,28.0
13332,18.0
5363,154.0
6599,30.0
5058,50.0
12797,30.0
3976,90.0
14135,40.0
14806,25.0
12780,52.0
13950,350.0
7194,18.0
12850,30.0
7361,22.0
167,80.0
15446,18.0
10851,40.0
5828,30.0
14963,80.0
3453,80.0
14009,40.0
8262,60.0
5089,69.0
12487,10.0
12431,35.0
5353,60.0
11229,50.0
7773,73.0
1112,20.0
15632,100.0
9831,80.0
4869,20.0
11665,38.0
14520,51.0
12357,49.0
14167,80.0
9454,80.0
11772,48.0
15399,22.0
612,75.0
1171,18.0
477,47.0
1567,35.0
5520,40.0
126,39.0
12802,53.0
1196,60.0
8598,50.0
11988,45.0
4519,30.0
1303,99.0
10611,28.0
2180,75.0
7218,55.0
7205,59.0
1721,31.0
4881,38.0
3669,60.0
23,70.0
1503,30.0
7475,100.0
14447,32.0
643,25.0
12719,44.0
10280,209.0
7796,80.0
14129,25.0
3206,28.0
10017,20.0
1502,70.0
8281,39.0
5847,279.0
12385,47.0
2422,45.0
5930,50.0
3322,30.0
2235,69.0
13390,30.0
5310,26.0
15004,76.0
9255,110.0
700,80.0
4052,32.0
12499,74.0
5334,90.0
2914,22.0
7011,40.0
3371,15.0
369,27.0
6518,35.0
14640,25.0
7285,18.0
12167,49.0
409,35.0
3190,90.0
6270,81.0
12987,30.0
9431,23.0
3913,30.0
4357,40.0
1545,40.0
12879,45.0
7823,28.0
8600,80.0
14331,82.0
10125,22.0
15414,25.0
11751,35.0
6730,75.0
7712,130.0
13228,100.0
7824,54.0
465,70.0
7736,65.0
15339,55.0
13132,106.0
9467,18.0
7224,55.0
2243,60.0
13409,16.0
7939,50.0
14514,125.0
7700,60.0
5534,60.0
11212,27.0
13959,24.0
11021,63.0
13905,40.0
9704,50.0
2246,79.0
835,40.0
4943,135.0
6900,69.0
4799,50.0
15129,50.0
10116,28.0
9595,30.0
4496,59.0
2015,50.0
2831,55.0
6222,105.0
14384,50.0
3832,95.0
5746,70.0
1506,70.0
7283,27.0
3798,29.0
12061,20.0
9146,159.0
6998,15.0
10317,60.0
2228,23.0
7227,22.0
14370,50.0
3496,25.0
8113,30.0
2405,70.0
14080,35.0
458,45.0
3374,40.0
14000,40.0
9911,70.0
6876,70.0
1245,28.0
12041,82.0
7864,121.0
6477,30.0
5173,55.0
5794,57.0
2182,100.0
12120,128.0
12982,50.0
11934,29.0
10950,25.0
6407,51.0
10381,130.0
6861,72.0
4315,103.0
13527,35.0
5236,90.0
15436,20.0
11702,80.0
8965,85.0
1258,26.0
4261,44.0
12032,45.0
5646,58.0
13380,30.0
13284,14.0
15681,40.0
9735,20.0
4579,190.0
13124,69.0
6500,34.0
4905,45.0
3775,75.0
10720,99.0
14975,40.0
12949,30.0
11912,25.0
2111,12.0
801,60.0
10135,30.0
28,69.0
9173,95.0
6436,421.0
10552,45.0
15670,140.0
764,39.0
12307,139.0
14115,45.0
3854,40.0
13709,38.0
563,63.0
4866,75.0
11408,35.0
4904,60.0
1216,187.0
6662,50.0
14230,210.0
10133,45.0
4422,40.0
9420,40.0
10899,18.0
3787,40.0
12817,60.0
1068,43.0
12562,170.0
8706,43.0
9357,70.0
4172,70.0
1338,39.0
11403,40.0
5733,42.0
12661,85.0
1786,28.0
12957,35.0
5241,25.0
13030,26.0
11049,80.0
4247,40.0
2200,60.0
9477,295.0
2019,38.0
13544,22.0
9538,95.0
877,45.0
362,26.0
2269,90.0
14620,26.0
14878,50.0
14719,25.0
11190,33.0
10951,65.0
14781,52.0
12466,72.0
6288,25.0
1163,45.0
9488,63.0
13371,22.0
6596,50.0
3047,150.0
4697,33.0
8882,25.0
1143,200.0
5779,46.0
380,49.0
154,80.0
14029,82.0
4530,70.0
5881,150.0
12276,40.0
13938,70.0
14104,70.0
2140,120.0
8768,30.0
7407,65.0
5451,18.0
13010,32.0
12077,50.0
10015,90.0
5938,115.0
11995,100.0
9728,30.0
21,81.0
12240,25.0
13450,159.0
1729,28.0
11534,26.0
9585,168.0
15059,31.0
8990,16.0
4244,100.0
9643,50.0
12108,35.0
1047,40.0
5429,50.0
3782,100.0
13605,47.0
3870,35.0
7054,35.0
10924,35.0
8476,35.0
14949,39.0
5540,149.0
14268,89.0
184,80.0
9971,60.0
5545,90.0
14442,73.0
130,39.0
4183,75.0
12368,14.0
1914,73.0
3678,110.0
14931,30.0
15678,28.0
9759,23.0
11158,35.0
12377,45.0
1404,75.0
1782,30.0
11439,24.0
10893,29.0
264,20.0
12722,129.0
3417,60.0
1597,35.0
3307,60.0
9216,100.0
12519,40.0
14808,33.0
12250,45.0
981,42.0
9333,76.0
3066,100.0
6207,202.0
88,44.0
3391,40.0
2080,75.0
10594,33.0
849,32.0
14229,120.0
14874,11.0
5001,95.0
9901,110.0
560,33.0
12423,100.0
1383,50.0
11986,46.0
13616,110.0
2619,30.0
6806,100.0
14734,150.0
8049,44.0
14962,48.0
9500,95.0
12388,45.0
15598,95.0
407,42.0
4560,55.0
3063,80.0
10267,25.0
1219,99.0
2362,80.0
7716,66.0
11854,55.0
11255,54.0
13254,45.0
12303,55.0
15568,80.0
4888,55.0
9228,65.0
8048,22.0
5479,29.0
1851,20.0
15685,45.0
13133,70.0
3193,40.0
2081,55.0
13996,40.0
7532,120.0
7416,35.0
664,24.0
8849,200.0
9284,25.0
7086,70.0
9150,30.0
1730,110.0
5146,30.0
901,28.0
10759,84.0
7220,20.0
6964,55.0
13100,100.0
2460,103.0
3716,129.0
15427,55.0
10189,38.0
3325,40.0
9162,35.0
3026,30.0
2563,55.0
6777,49.0
7302,95.0
14811,48.0
12602,53.0
1861,49.0
10822,10.0
897,35.0
11360,50.0
5665,46.0
1204,39.0
4946,35.0
1654,75.0
12314,40.0
4587,28.0
5252,42.0
4444,45.0
7428,40.0
6034,10.0
9122,109.0
8001,87.0
3641,30.0
11639,60.0
11531,100.0
15452,25.0
14238,62.0
13866,80.0
1036,40.0
15038,38.0
5055,54.0
2899,44.0
1400,75.0
5555,100.0
1487,47.0
12844,23.0
12204,68.0
2732,70.0
10320,39.0
2240,20.0
2905,40.0
12236,250.0
2381,80.0
3465,21.0
6921,66.0
9920,30.0
12016,60.0
11615,80.0
9514,59.0
6789,80.0
9860,270.0
8450,27.0
11414,120.0
97,69.0
2333,39.0
10004,90.0
5005,28.0
1106,31.0
11846,50.0
9117,19.0
3863,119.0
9373,140.0
12857,35.0
752,55.0
13695,95.0
10883,100.0
6601,25.0
4508,27.0
4510,69.0
7523,35.0
7781,19.0
6044,95.0
247,55.0
2694,58.0
3065,45.0
3020,42.0
11839,40.0
2735,28.0
9556,240.0
3387,38.0
14264,36.0
4302,45.0
12452,23.0
10553,31.0
14163,30.0
8617,70.0
14286,35.0
4397,50.0
2803,35.0
8082,40.0
5264,59.0
1720,45.0
11077,160.0
9951,34.0
10944,60.0
9716,79.0
9512,21.0
10465,62.0
10446,50.0
14528,80.0
1609,430.0
765,75.0
14948,99.0
3997,30.0
6104,45.0
7551,29.0
7757,45.0
7041,300.0
50,50.0
1611,35.0
2910,37.0
9118,52.0
14431,80.0
11301,70.0
1281,80.0
8764,40.0
7116,49.0
9492,69.0
12143,45.0
7905,32.0
3350,80.0
10305,30.0
7281,57.0
15584,65.0
3770,85.0
12628,89.0
297,32.0
3763,45.0
8419,35.0
13827,154.0
12161,70.0
11253,45.0
7980,54.0
4241,26.0
12568,50.0
11392,35.0
13068,55.0
10039,27.0
12327,25.0
13114,50.0
9465,94.0
4556,80.0
5743,69.0
864,34.0
8225,150.0
1577,30.0
4870,53.0
5618,66.0
501,35.0
11647,50.0
9456,19.0
932,42.0
10056,30.0
10896,20.0
2714,80.0
5916,55.0
6204,30.0
6379,30.0
1403,36.0
12003,25.0
4835,45.0
9324,52.0
10864,75.0
10869,99.0
6659,65.0
2701,65.0
5510,68.0
6025,35.0
14789,65.0
4505,78.0
9862,40.0
6827,38.0
11442,29.0
8114,32.0
8674,80.0
3272,60.0
8241,25.0
15345,46.0
9755,77.0
12652,29.0
645,32.0
8376,25.0
6542,29.0
9784,34.0
8237,35.0
8776,28.0
9715,48.0
13374,21.0
6829,55.0
7014,80.0
14509,80.0
14529,50.0
4442,30.0
14208,60.0
14352,25.0
2555,55.0
8627,50.0
8692,25.0
7692,30.0
1958,32.0
3815,100.0
7273,47.0
6248,95.0
3779,30.0
12364,250.0
5756,35.0
3738,295.0
9402,25.0
2780,28.0
5992,45.0
3671,31.0
9432,35.0
9416,45.0
1904,80.0
5213,99.0
11248,22.0
3562,80.0
4388,28.0
4643,70.0
14469,40.0
10041,250.0
6125,20.0
838,90.0
3181,34.0
12801,45.0
8894,43.0
12133,41.0
13570,40.0
14329,55.0
15314,100.0
4899,35.0
6194,20.0
8199,90.0
1179,48.0
9732,190.0
7327,30.0
5487,40.0
7753,110.0
13864,99.0
11868,99.0
15630,40.0
9647,250.0
7157,100.0
8409,59.0
7143,59.0
12261,30.0
12081,40.0
13014,95.0
14701,30.0
523,24.0
8556,29.0
2824,50.0
4227,39.0
7314,24.0
2838,100.0
6487,65.0
2089,45.0
9545,30.0
3017,350.0
5932,25.0
982,39.0
6240,47.0
4709,49.0
13487,38.0
2993,45.0
10631,59.0
6023,60.0
4923,40.0
14133,68.0
2043,35.0
6413,46.0
3472,45.0
6701,17.0
11932,23.0
8541,34.0
1310,38.0
5737,26.0
2819,88.0
12806,45.0
12768,69.0
10312,69.0
13759,42.0
11196,50.0
8501,99.0
14181,85.0
4004,23.0
6037,25.0
10036,369.0
10539,49.0
12015,35.0
11178,49.0
11182,44.0
9310,65.0
930,60.0
3298,30.0
11295,49.0
10083,30.0
12079,25.0
6016,100.0
11718,55.0
1875,50.0
1324,35.0
8491,100.0
11663,45.0
14955,75.0
6396,80.0
8634,45.0
1154,30.0
4920,38.0
14626,90.0
10138,260.0
774,46.0
4320,30.0
6083,60.0
11790,89.0
15618,65.0
13917,100.0
5525,30.0
6216,75.0
9294,39.0
4190,20.0
13073,30.0
14522,80.0
9683,48.0
3075,80.0
9912,40.0
8393,70.0
8138,75.0
1820,40.0
2678,140.0
8026,43.0
10310,118.0
3358,50.0
10110,30.0
7176,40.0
2966,25.0
9922,100.0
12726,49.0
5757,80.0
15455,154.0
13033,60.0
15372,39.0
10783,55.0
10489,34.0
6600,18.0
2951,30.0
1442,40.0
2322,29.0
9209,44.0
2345,35.0
14929,89.0
9444,36.0
2072,70.0
14271,70.0
15438,60.0
7743,29.0
13774,45.0
5628,85.0
13659,180.0
1507,85.0
9509,50.0
1305,40.0
883,35.0
15442,43.0
13435,25.0
12100,170.0
13941,45.0
14710,50.0
11361,200.0
3906,40.0
6805,90.0
5747,25.0
15383,30.0
5211,30.0
13585,42.0
1637,20.0
12359,98.0
8789,22.0
10572,35.0
7166,79.0
8576,43.0
4347,13.0
9349,95.0
11362,65.0
15477,50.0
4858,30.0
152,30.0
14945,40.0
2400,69.0
4998,45.0
408,100.0
7667,45.0
10306,30.0
4686,45.0
3820,120.0
3644,50.0
5329,30.0
7665,33.0
7646,105.0
6443,30.0
3833,15.0
1768,26.0
11785,39.0
379,45.0
1380,35.0
2957,32.0
15377,55.0
13548,45.0
10690,45.0
6939,35.0
4918,100.0
7573,35.0
1100,69.0
4464,30.0
15652,42.0
436,120.0
5907,70.0
5261,50.0
8387,124.0
15143,27.0
9270,44.0
320,20.0
5972,45.0
3485,30.0
8201,52.0
6633,80.0
7861,26.0
13936,15.0
11159,21.0
10925,48.0
12422,30.0
5627,58.0
15689,19.0
14388,40.0
6154,27.0
12001,55.0
15651,98.0
6112,25.0
4218,55.0
4823,43.0
13617,159.0
15497,20.0
7389,49.0
9214,79.0
3509,35.0
3686,60.0
8507,210.0
10085,75.0
10654,51.0
14272,31.0
6324,50.0
11246,60.0
8807,19.0
11045,120.0
4469,25.0
12295,39.0
14665,30.0
13680,30.0
7604,105.0
1342,69.0
6214,50.0
5383,39.0
15400,25.0
47,29.0
8338,50.0
4949,33.0
9011,25.0
15105,34.0
1854,55.0
845,45.0
3323,40.0
2889,50.0
3114,60.0
13392,60.0
8364,55.0
12157,25.0
9193,50.0
7233,85.0
5065,41.0
8020,25.0
6381,23.0
555,45.0
15186,50.0
4708,50.0
7103,30.0
4224,30.0
2483,105.0
1451,15.0
14858,119.0
9990,60.0
7076,110.0
4163,97.0
2986,100.0
14559,49.0
10774,60.0
13966,59.0
13678,100.0
10365,35.0
4359,70.0
11254,35.0
5650,39.0
4775,50.0
4390,120.0
4425,25.0
7050,32.0
12025,61.0
342,70.0
14533,60.0
7075,35.0
9029,60.0
10726,100.0
13472,35.0
3933,140.0
4195,220.0
5640,102.0
6011,45.0
8434,100.0
7138,25.0
586,190.0
4408,33.0
11143,280.0
1479,24.0
9925,36.0
13239,55.0
6688,155.0
11917,68.0
6373,67.0
3595,40.0
4281,109.0
7765,85.0
3957,33.0
10452,25.0
13066,40.0
15563,42.0
6423,139.0
3122,53.0
3629,45.0
8584,32.0
6136,64.0
3376,31.0
12332,129.0
3423,20.0
5667,45.0
14415,40.0
7707,56.0
10813,50.0
4447,45.0
8922,39.0
6249,60.0
15530,69.0
8877,55.0
11584,35.0
1780,99.0
7998,30.0
2187,97.0
11659,45.0
11799,25.0
7509,160.0
6711,260.0
9948,110.0
6741,22.0
13873,49.0
100,99.0
13563,32.0
4036,22.0
2937,245.0
12747,40.0
13217,84.0
424,50.0
412,20.0
10434,99.0
15239,100.0
1764,45.0
11319,30.0
12005,80.0
14552,30.0
9419,30.0
12767,70.0
10412,60.0
2472,96.0
2149,85.0
8259,15.0
4673,99.0
12046,30.0
3834,50.0
3814,90.0
8908,50.0
4349,39.0
8137,39.0
10142,25.0
11596,49.0
1261,25.0
3082,39.0
3676,28.0
8620,90.0
12481,40.0
4327,79.0
14126,180.0
12537,210.0
7608,32.0
8135,35.0
1525,32.0
10522,45.0
491,112.0
228,30.0
10794,69.0
8212,30.0
14410,50.0
13008,50.0
4016,30.0
10194,77.0
5150,100.0
10029,55.0
8072,58.0
5635,35.0
4729,60.0
3617,50.0
7413,78.0
15655,40.0
6695,58.0
6792,69.0
11180,45.0
15619,25.0
9526,30.0
5785,45.0
3701,35.0
11127,59.0
9995,15.0
7249,62.0
12515,58.0
1231,70.0
14733,39.0
15499,59.0
5633,85.0
5556,55.0
15585,45.0
11521,99.0
13345,114.0
5708,90.0
12585,50.0
14409,69.0
11149,45.0
9000,98.0
6030,55.0
13843,24.0
11542,55.0
5482,50.0
13945,45.0
1581,23.0
3912,43.0
3964,25.0
5227,35.0
10035,60.0
4058,60.0
5436,37.0
4583,88.0
4776,30.0
11617,90.0
14965,80.0
4714,38.0
9263,40.0
12441,38.0
5409,25.0
11165,60.0
10352,35.0
1498,40.0
3517,50.0
12642,70.0
113,120.0
14671,52.0
11051,20.0
6562,45.0
9375,110.0
10897,35.0
6000,35.0
10026,25.0
11488,80.0
13222,25.0
14057,27.0
7791,80.0
14109,16.0
9337,25.0
13065,75.0
11850,55.0
6837,70.0
3548,46.0
11963,30.0
9905,100.0
6146,180.0
13310,90.0
2049,23.0
8754,28.0
13458,26.0
1643,55.0
10993,40.0
9665,85.0
3473,25.0
6369,150.0
9327,110.0
10372,95.0
14446,22.0
13341,88.0
5112,70.0
11972,85.0
8195,30.0
2671,25.0
754,55.0
10702,20.0
7114,29.0
3289,45.0
12531,150.0
14380,35.0
14217,55.0
7833,165.0
2740,70.0
2875,29.0
9639,109.0
7983,55.0
12865,68.0
13317,70.0
13120,38.0
9050,110.0
1390,32.0
1529,25.0
14992,51.0
3943,35.0
12449,95.0
4107,69.0
9610,57.0
8428,42.0
11492,130.0
6522,119.0
15325,50.0
1109,40.0
5647,29.0
1972,220.0
2092,200.0
10566,70.0
2532,99.0
12166,25.0
6476,15.0
7618,48.0
7726,59.0
3369,190.0
13582,55.0
13533,25.0
13637,44.0
13896,90.0
2644,55.0
12891,60.0
13770,34.0
8524,24.0
9075,20.0
8022,60.0
12943,30.0
9796,90.0
12730,38.0
8239,109.0
13903,38.0
10355,20.0
7664,35.0
11130,55.0
7978,900.0
1664,69.0
14375,48.0
12913,40.0
7963,30.0
4700,35.0
2806,60.0
8412,95.0
12885,20.0
8122,35.0
5735,28.0
3317,33.0
13538,150.0
14777,33.0
13344,50.0
3153,25.0
6120,35.0
12470,52.0
11853,90.0
1992,40.0
10805,35.0
14659,65.0
11939,70.0
12463,65.0
1387,40.0
15335,55.0
7322,88.0
6156,24.0
13089,81.0
3454,40.0
7445,50.0
1483,35.0
15082,40.0
649,20.0
6981,90.0
12324,50.0
7492,75.0
12196,30.0
4187,25.0
6437,49.0
3981,85.0
9820,40.0
11695,42.0
13657,120.0
3530,89.0
5052,105.0
11697,35.0
11025,90.0
4814,45.0
12810,36.0
3366,42.0
853,85.0
12278,40.0
11487,57.0
11381,49.0
11827,40.0
1220,20.0
13189,20.0
13611,130.0
3915,25.0
445,220.0
5423,95.0
10221,28.0
12264,47.0
6246,57.0
4434,30.0
10137,20.0
4660,30.0
3138,44.0
15054,55.0
5159,50.0
5062,25.0
206,150.0
9165,30.0
9854,68.0
1168,27.0
8914,95.0
2719,28.0
8264,65.0
9225,45.0
7424,120.0
13526,40.0
1553,21.0
9637,120.0
10387,79.0
9593,59.0
251,16.0
9648,75.0
3493,40.0
3690,25.0
2100,40.0
12614,55.0
5652,120.0
1375,35.0
6039,90.0
4764,29.0
13562,20.0
12047,53.0
10475,28.0
3276,37.0
11269,35.0
7635,33.0
8170,27.0
11847,69.0
4868,47.0
4103,60.0
8073,159.0
15448,130.0
12484,30.0
14939,92.0
8488,60.0
3306,128.0
13386,32.0
902,30.0
9763,10.0
4415,195.0
1991,24.0
7390,90.0
15422,30.0
6132,59.0
13776,24.0
13608,77.0
9731,120.0
9567,35.0
276,150.0
3234,20.0
10382,23.0
8523,36.0
10141,59.0
9351,26.0
14577,64.0
12546,35.0
766,50.0
9379,59.0
8558,65.0
69,21.0
5071,60.0
14898,35.0
2163,20.0
2196,70.0
65,115.0
11463,29.0
3379,25.0
9586,50.0
6525,29.0
5331,9.0
5060,32.0
858,40.0
9367,45.0
5410,89.0
1640,25.0
3904,60.0
8988,37.0
5877,99.0
2392,50.0
9354,130.0
4874,60.0
12917,30.0
5826,40.0
13455,40.0
3373,39.0
12349,80.0
13128,50.0
6283,100.0
15432,31.0
13779,186.0
15367,30.0
14432,90.0
1555,20.0
11032,55.0
4280,18.0
67,38.0
13329,48.0
9356,80.0
15425,45.0
3198,40.0
12871,45.0
3846,82.0
7574,28.0
10555,40.0
2452,56.0
110,100.0
7738,25.0
12464,55.0
1957,80.0
4043,50.0
5197,55.0
3455,121.0
1740,89.0
8462,50.0
14096,65.0
2343,29.0
13879,35.0
8498,69.0
15262,43.0
6394,58.0
14164,150.0
1845,59.0
14743,46.0
13470,75.0
5435,30.0
7115,69.0
13479,39.0
11595,60.0
4678,63.0
14833,80.0
1128,40.0
1419,90.0
9246,55.0
14800,12.0
6152,235.0
5304,40.0
8101,55.0
5116,20.0
14653,75.0
4406,27.0
6158,48.0
4234,25.0
4832,34.0
15122,32.0
9519,25.0
13425,125.0
9645,45.0
442,65.0
14841,202.0
13434,35.0
14199,62.0
4402,47.0
15240,29.0
7425,65.0
625,100.0
863,35.0
4256,60.0
2742,88.0
2443,55.0
5550,30.0
5351,33.0
1945,75.0
5281,45.0
8896,99.0
15258,145.0
14174,35.0
1744,99.0
5179,48.0
4225,85.0
11681,30.0
1964,44.0
12354,140.0
14120,25.0
3880,45.0
14245,35.0
4149,42.0
14236,46.0
9521,30.0
3402,150.0
7522,74.0
9548,20.0
15289,35.0
9236,25.0
13106,38.0
5544,100.0
1968,68.0
11506,250.0
762,30.0
5865,30.0
10906,41.0
2489,20.0
14001,35.0
8223,70.0
7488,25.0
4338,120.0
12516,90.0
12416,35.0
2798,45.0
8436,40.0
12471,35.0
5922,17.0
13574,25.0
12180,20.0
2051,25.0
9268,40.0
5832,28.0
15061,45.0
3601,50.0
5260,35.0
10458,300.0
6511,80.0
14553,85.0
1527,64.0
8290,600.0
6553,29.0
6622,40.0
14122,120.0
9400,80.0
3469,45.0
8405,35.0
7962,90.0
12279,30.0
1648,60.0
12668,145.0
1745,150.0
12358,130.0
9283,30.0
8616,85.0
7987,175.0
15687,45.0
12984,30.0
